"Date","hits","keyword"
"1",2017-05-08,3,"^GSPC"
"2",2017-05-15,6,"^GSPC"
"3",2017-05-22,3,"^GSPC"
"4",2017-05-29,3,"^GSPC"
"5",2017-06-05,3,"^GSPC"
"6",2017-06-12,0,"^GSPC"
"7",2017-06-19,3,"^GSPC"
"8",2017-06-26,0,"^GSPC"
"9",2017-07-03,0,"^GSPC"
"10",2017-07-10,3,"^GSPC"
"11",2017-07-17,0,"^GSPC"
"12",2017-07-24,3,"^GSPC"
"13",2017-07-31,0,"^GSPC"
"14",2017-08-07,0,"^GSPC"
"15",2017-08-14,0,"^GSPC"
"16",2017-08-21,0,"^GSPC"
"17",2017-08-28,0,"^GSPC"
"18",2017-09-04,0,"^GSPC"
"19",2017-09-11,3,"^GSPC"
"20",2017-09-18,0,"^GSPC"
"21",2017-09-25,6,"^GSPC"
"22",2017-10-02,3,"^GSPC"
"23",2017-10-09,3,"^GSPC"
"24",2017-10-16,0,"^GSPC"
"25",2017-10-23,0,"^GSPC"
"26",2017-10-30,6,"^GSPC"
"27",2017-11-06,6,"^GSPC"
"28",2017-11-13,0,"^GSPC"
"29",2017-11-20,0,"^GSPC"
"30",2017-11-27,3,"^GSPC"
"31",2017-12-04,3,"^GSPC"
"32",2017-12-11,3,"^GSPC"
"33",2017-12-18,0,"^GSPC"
"34",2017-12-25,7,"^GSPC"
"35",2018-01-01,0,"^GSPC"
"36",2018-01-08,9,"^GSPC"
"37",2018-01-15,3,"^GSPC"
"38",2018-01-22,8,"^GSPC"
"39",2018-01-29,3,"^GSPC"
"40",2018-02-05,6,"^GSPC"
"41",2018-02-12,6,"^GSPC"
"42",2018-02-19,6,"^GSPC"
"43",2018-02-26,3,"^GSPC"
"44",2018-03-05,6,"^GSPC"
"45",2018-03-12,31,"^GSPC"
"46",2018-03-19,31,"^GSPC"
"47",2018-03-26,53,"^GSPC"
"48",2018-04-02,32,"^GSPC"
"49",2018-04-09,60,"^GSPC"
"50",2018-04-16,49,"^GSPC"
"51",2018-04-23,46,"^GSPC"
"52",2018-04-30,57,"^GSPC"
"53",2018-05-07,49,"^GSPC"
"54",2018-05-14,59,"^GSPC"
"55",2018-05-21,30,"^GSPC"
"56",2018-05-28,54,"^GSPC"
"57",2018-06-04,42,"^GSPC"
"58",2018-06-11,27,"^GSPC"
"59",2018-06-18,48,"^GSPC"
"60",2018-06-25,30,"^GSPC"
"61",2018-07-02,47,"^GSPC"
"62",2018-07-09,30,"^GSPC"
"63",2018-07-16,33,"^GSPC"
"64",2018-07-23,25,"^GSPC"
"65",2018-07-30,27,"^GSPC"
"66",2018-08-06,72,"^GSPC"
"67",2018-08-13,100,"^GSPC"
"68",2018-08-20,64,"^GSPC"
"69",2018-08-27,89,"^GSPC"
"70",2018-09-03,89,"^GSPC"
"71",2018-09-10,52,"^GSPC"
"72",2018-09-17,38,"^GSPC"
"73",2018-09-24,73,"^GSPC"
"74",2018-10-01,38,"^GSPC"
"75",2018-10-08,62,"^GSPC"
"76",2018-10-15,63,"^GSPC"
"77",2018-10-22,82,"^GSPC"
"78",2018-10-29,86,"^GSPC"
"79",2018-11-05,45,"^GSPC"
"80",2018-11-12,81,"^GSPC"
"81",2018-11-19,61,"^GSPC"
"82",2018-11-26,45,"^GSPC"
"83",2018-12-03,58,"^GSPC"
"84",2018-12-10,75,"^GSPC"
"85",2018-12-17,89,"^GSPC"
"86",2018-12-24,73,"^GSPC"
"87",2018-12-31,68,"^GSPC"
"88",2019-01-07,55,"^GSPC"
"89",2019-01-14,53,"^GSPC"
"90",2019-01-21,47,"^GSPC"
"91",2019-01-28,56,"^GSPC"
"92",2019-02-04,68,"^GSPC"
"93",2019-02-11,52,"^GSPC"
"94",2019-02-18,61,"^GSPC"
"95",2019-02-25,63,"^GSPC"
"96",2019-03-04,68,"^GSPC"
"97",2019-03-11,68,"^GSPC"
"98",2019-03-18,58,"^GSPC"
"99",2019-03-25,51,"^GSPC"
"100",2019-04-01,90,"^GSPC"
"101",2019-04-08,51,"^GSPC"
"102",2019-04-15,55,"^GSPC"
"103",2019-04-22,55,"^GSPC"
"104",2019-04-29,45,"^GSPC"
"105",2019-05-06,54,"^GSPC"
"106",2019-05-13,62,"^GSPC"
"107",2019-05-20,34,"^GSPC"
"108",2019-05-27,51,"^GSPC"
"109",2019-06-03,46,"^GSPC"
"110",2019-06-10,18,"^GSPC"
"111",2019-06-17,46,"^GSPC"
"112",2019-06-24,53,"^GSPC"
"113",2019-07-01,39,"^GSPC"
"114",2019-07-08,28,"^GSPC"
"115",2019-07-15,44,"^GSPC"
"116",2019-07-22,67,"^GSPC"
"117",2019-07-29,45,"^GSPC"
"118",2019-08-05,38,"^GSPC"
"119",2019-08-12,40,"^GSPC"
"120",2019-08-19,34,"^GSPC"
"121",2019-08-26,32,"^GSPC"
"122",2019-09-02,40,"^GSPC"
"123",2019-09-09,17,"^GSPC"
"124",2019-09-16,17,"^GSPC"
"125",2019-09-23,31,"^GSPC"
"126",2019-09-30,37,"^GSPC"
"127",2019-10-07,46,"^GSPC"
"128",2019-10-14,51,"^GSPC"
"129",2019-10-21,47,"^GSPC"
"130",2019-10-28,36,"^GSPC"
"131",2019-11-04,56,"^GSPC"
"132",2019-11-11,24,"^GSPC"
"133",2019-11-18,17,"^GSPC"
"134",2019-11-25,23,"^GSPC"
"135",2019-12-02,49,"^GSPC"
"136",2019-12-09,30,"^GSPC"
"137",2019-12-16,34,"^GSPC"
"138",2019-12-23,32,"^GSPC"
